file,site,sample_rate
recover-20250127/UBNA_026/20250114_233000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_234000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250114_235000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_000000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_001000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_002000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_003000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_004000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_005000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_010000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_011000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_012000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_013000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_014000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_015000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_020000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_021000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_022000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_023000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_024000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_025000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_030000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_031000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_032000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_033000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_034000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_035000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_040000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_041000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_042000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_043000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_044000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_045000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_050000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_051000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_052000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_053000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_054000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_055000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_060000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_061000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_062000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_063000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_064000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_065000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_070000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_071000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_072000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_073000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_074000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_075000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_080000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_081000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_082000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_083000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_084000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_085000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_090000.WAV,Carp Pond,192000
recover-20250127/UBNA_026/20250115_091000.WAV,Carp Pond,192000
